,CODGEO,TP6020
1987,06119,
1988,06120,
1989,06121,
1990,06122,9.0
1991,06123,12.0
1992,06124,
1993,06125,
1994,06126,9.0
1995,06127,
1996,06128,12.0
1997,06129,
1998,06130,9.0
1999,06131,
2000,06132,
2001,06133,
2002,06134,
2003,06135,
2004,06136,15.0
2005,06137,
2006,06138,
2007,06139,
2008,06140,9.0
2009,06141,
2010,06142,
2011,06143,
2012,06144,
2013,06145,
2014,06146,
2015,06147,8.0
2016,06148,11.0
2017,06149,13.0
2018,06150,11.0
2019,06151,
2020,06152,10.0
2021,06153,
2022,06154,
2023,06155,18.0
2024,06156,
2025,06157,16.0
2026,06158,
2027,06159,14.0
2028,06160,
2029,06161,11.0
2030,06162,
2031,06163,
2032,07001,
2033,07002,
2034,07003,
2035,07004,
2036,07005,
2037,07006,
2038,07007,
2039,07008,
2040,07009,
2041,07010,22.0
2042,07011,
2043,07012,
2044,07013,
2045,07014,
2046,07015,
2047,07017,
2048,07018,
2049,07019,24.0
2050,07020,
